IP:PORT, LOSS, DELAY
188.114.96.96:946,0.00%,161 ms
188.114.96.96:955,0.00%,164 ms
188.114.96.106:946,0.00%,165 ms
188.114.96.106:955,0.00%,165 ms
188.114.97.239:955,0.00%,167 ms
188.114.97.239:946,0.00%,167 ms
188.114.96.241:955,0.00%,169 ms
188.114.96.241:946,0.00%,169 ms
162.159.195.120:955,0.00%,171 ms
162.159.195.120:946,0.00%,171 ms
188.114.98.81:955,0.00%,171 ms
188.114.98.81:946,0.00%,171 ms
188.114.96.23:946,0.00%,171 ms
188.114.96.23:955,0.00%,171 ms
162.159.195.199:946,0.00%,173 ms
188.114.98.104:946,0.00%,174 ms
188.114.96.28:946,0.00%,174 ms
188.114.96.28:955,0.00%,175 ms
188.114.97.57:946,0.00%,175 ms
188.114.97.140:955,0.00%,175 ms
162.159.195.103:955,0.00%,175 ms
188.114.97.140:946,0.00%,176 ms
188.114.97.57:955,0.00%,177 ms
162.159.195.33:955,0.00%,178 ms
188.114.98.104:955,0.00%,178 ms
188.114.99.147:955,0.00%,179 ms
162.159.195.199:955,0.00%,179 ms
188.114.97.36:955,0.00%,179 ms
162.159.195.139:946,0.00%,179 ms
162.159.195.103:946,0.00%,179 ms
188.114.98.154:955,0.00%,179 ms
188.114.99.26:946,0.00%,179 ms
188.114.99.26:955,0.00%,179 ms
188.114.96.109:946,0.00%,180 ms
188.114.99.147:946,0.00%,180 ms
188.114.96.109:955,0.00%,180 ms
188.114.97.244:955,0.00%,181 ms
188.114.99.239:955,0.00%,181 ms
188.114.99.63:946,0.00%,181 ms
188.114.97.244:946,0.00%,181 ms
162.159.195.226:955,0.00%,182 ms
162.159.195.161:955,0.00%,182 ms
188.114.96.163:955,0.00%,182 ms
162.159.195.161:946,0.00%,182 ms
188.114.96.139:946,0.00%,182 ms
188.114.96.139:955,0.00%,182 ms
188.114.99.120:946,0.00%,182 ms
188.114.99.101:955,0.00%,183 ms
162.159.195.33:946,0.00%,183 ms
188.114.96.163:946,0.00%,183 ms
