IP地址,端口,回源端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,0 ms,8709
8.219.40.37,2087,2087,TRUE,SIN,Asia Pacific,Singapore,0 ms,7818
8.219.40.37,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,7552
47.237.82.15,2053,2053,TRUE,SIN,Asia Pacific,Singapore,1 ms,4847
47.236.144.208,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,4809
47.236.172.95,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,4783
47.237.92.26,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,4722
47.237.8.82,8443,8443,TRUE,SIN,Asia Pacific,Singapore,0 ms,4566
47.236.97.90,8443,8443,TRUE,SIN,Asia Pacific,Singapore,0 ms,4421
47.236.102.102,2053,2053,TRUE,SIN,Asia Pacific,Singapore,13 ms,4408
47.236.167.231,8443,8443,TRUE,SIN,Asia Pacific,Singapore,1 ms,4385
47.236.10.182,2096,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,4332
47.236.10.100,2087,2087,TRUE,SIN,Asia Pacific,Singapore,14 ms,4282
47.236.174.206,2053,2053,TRUE,SIN,Asia Pacific,Singapore,1 ms,4123
47.236.17.193,2087,2087,TRUE,SIN,Asia Pacific,Singapore,0 ms,4120
47.236.10.100,2096,2096,TRUE,SIN,Asia Pacific,Singapore,13 ms,4116
47.236.118.216,2053,2053,TRUE,SIN,Asia Pacific,Singapore,16 ms,4066
47.236.118.216,8443,8443,TRUE,SIN,Asia Pacific,Singapore,24 ms,3974
47.237.86.185,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,3948
47.236.254.120,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,3927
47.236.9.152,2096,2096,TRUE,SIN,Asia Pacific,Singapore,1 ms,3912
47.236.168.17,2053,2053,TRUE,SIN,Asia Pacific,Singapore,1 ms,3908
47.237.0.31,2083,2083,TRUE,SIN,Asia Pacific,Singapore,3 ms,3896
47.236.75.113,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,3870
47.236.10.182,2053,2053,TRUE,SIN,Asia Pacific,Singapore,70 ms,3864
47.236.254.120,8443,8443,TRUE,SIN,Asia Pacific,Singapore,1 ms,3863
47.236.254.120,2083,2083,TRUE,SIN,Asia Pacific,Singapore,1 ms,3848
47.236.10.100,8443,8443,TRUE,SIN,Asia Pacific,Singapore,18 ms,3835
47.237.84.173,2096,2096,TRUE,SIN,Asia Pacific,Singapore,0 ms,3817
47.236.172.95,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,3810
47.236.17.193,8443,8443,TRUE,SIN,Asia Pacific,Singapore,0 ms,3798
47.236.17.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,3769
47.236.17.193,2096,2096,TRUE,SIN,Asia Pacific,Singapore,1 ms,3759
47.236.10.182,2087,2087,TRUE,SIN,Asia Pacific,Singapore,68 ms,3740
47.236.174.206,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,3640
47.236.145.85,2053,2053,TRUE,SIN,Asia Pacific,Singapore,3 ms,3575
47.236.10.182,2083,2083,TRUE,SIN,Asia Pacific,Singapore,16 ms,3560
47.237.84.173,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,3474
47.237.100.206,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,3468
47.236.118.216,2083,2083,TRUE,SIN,Asia Pacific,Singapore,5 ms,3459
47.236.166.131,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,3414
47.237.8.82,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,3407
47.237.86.185,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,3333
47.236.254.120,2096,2096,TRUE,SIN,Asia Pacific,Singapore,2 ms,3321
47.237.0.31,2096,2096,TRUE,SIN,Asia Pacific,Singapore,1 ms,3307
47.236.145.85,8443,8443,TRUE,SIN,Asia Pacific,Singapore,1 ms,3279
47.236.10.182,8443,8443,TRUE,SIN,Asia Pacific,Singapore,14 ms,3250
47.237.86.185,2087,2087,TRUE,SIN,Asia Pacific,Singapore,0 ms,3205
47.236.145.85,443,443,TRUE,SIN,Asia Pacific,Singapore,1 ms,3161
47.236.97.90,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,3126
47.236.102.102,2083,2083,TRUE,SIN,Asia Pacific,Singapore,15 ms,3109
47.237.8.82,2053,2053,TRUE,SIN,Asia Pacific,Singapore,1 ms,3081
47.237.86.185,2096,2096,TRUE,SIN,Asia Pacific,Singapore,3 ms,2988
47.236.144.208,2053,2053,TRUE,SIN,Asia Pacific,Singapore,0 ms,2959
47.76.94.15,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,0 ms,2943
47.236.118.216,2096,2096,TRUE,SIN,Asia Pacific,Singapore,21 ms,2758
47.236.118.216,2087,2087,TRUE,SIN,Asia Pacific,Singapore,1 ms,2614
47.90.141.204,443,443,TRUE,LAX,North America,Los Angeles,0 ms,2569
47.237.84.173,2083,2083,TRUE,SIN,Asia Pacific,Singapore,0 ms,2555
47.237.95.146,2053,2053,TRUE,SIN,Asia Pacific,Singapore,6 ms,2122
